c_charge_degree,score_text,v_type_of_assessment,age,priors_count,juv_fel_count,decile_score,days_b_screening_arrest,type_of_assessment,is_privileged,race,sex,age_cat
0.0,1.0,0.0,-1.3305739185720065,-0.5064140725418763,-0.1418546103488714,-0.8786383171593792,-0.0715182915587888,0.0,0.0,2,1,0
0.0,1.0,0.0,-1.162338424209877,-0.5064140725418763,-0.1418546103488714,-0.8786383171593792,-0.0715182915587888,0.0,0.0,0,1,1
1.0,2.0,0.0,-1.078220677028813,-0.7112397688480602,-0.1418546103488714,0.5218249660902365,-0.0580363909093195,0.0,1.0,0,0,2
0.0,1.0,0.0,-1.414691665753071,-0.7112397688480602,-0.1418546103488714,-0.1784066755345713,-0.0715182915587888,0.0,0.0,0,1,0
0.0,2.0,0.0,-1.162338424209877,-0.7112397688480602,-0.1418546103488714,0.8719407869026405,-0.0580363909093195,0.0,1.0,2,1,2
0.0,0.0,0.0,-1.162338424209877,2.156319979438514,-0.1418546103488714,1.5721724285274483,-0.0715182915587888,0.0,0.0,2,1,1
0.0,2.0,0.0,-1.162338424209877,-0.7112397688480602,-0.1418546103488714,0.1717091452778326,-0.0445544902598502,0.0,1.0,2,1,2
1.0,1.0,0.0,-1.246456171390942,-0.5064140725418763,-0.1418546103488714,-0.8786383171593792,-5.9871666066998594e-18,0.0,0.0,2,0,0
0.0,1.0,0.0,-1.246456171390942,-0.7112397688480602,-0.1418546103488714,-0.8786383171593792,-0.0715182915587888,0.0,0.0,5,1,0
0.0,0.0,0.0,-1.078220677028813,-0.0967626799295085,-0.1418546103488714,1.5721724285274483,0.4138301318221052,0.0,0.0,0,1,1
0.0,2.0,0.0,-1.3305739185720065,-0.3015883762356924,-0.1418546103488714,0.5218249660902365,-0.0715182915587888,0.0,0.0,2,1,0
0.0,1.0,0.0,-1.246456171390942,-0.7112397688480602,-0.1418546103488714,-0.8786383171593792,-0.0715182915587888,0.0,0.0,3,1,0
0.0,0.0,0.0,-1.414691665753071,-0.3015883762356924,-0.1418546103488714,1.2220566077150443,-0.0715182915587888,0.0,0.0,0,1,0
1.0,0.0,0.0,-1.414691665753071,-0.7112397688480602,-0.1418546103488714,1.2220566077150443,-0.0715182915587888,0.0,0.0,0,1,0
0.0,1.0,0.0,-1.162338424209877,-0.5064140725418763,-0.1418546103488714,-0.1784066755345713,-0.1524096954556044,0.0,1.0,2,1,2
1.0,0.0,0.0,-1.3305739185720065,-0.0967626799295085,-0.1418546103488714,1.2220566077150443,5.442579074074146,0.0,0.0,3,1,0
0.0,1.0,0.0,-1.246456171390942,-0.7112397688480602,-0.1418546103488714,-0.1784066755345713,-0.0580363909093195,0.0,1.0,2,1,2
