Age,Workclass,Education,Marital Status,Occupation,Relationship,Capital Gain,capital loss,Hours per Week,Native Country,is_privileged,Income,Race,Gender,age_cat
0.0306705573543917,7.0,9.0,4.0,1.0,1.0,0.1316625093075137,-0.2166595270325901,-0.521368041277995,39.0,0.0,0.0,4,1,0
0.8371089803598137,6.0,9.0,2.0,4.0,0.0,-0.1459204835588534,-0.2166595270325901,-2.384132652781331,39.0,0.0,0.0,4,1,1
-0.042642026555192,4.0,11.0,0.0,6.0,1.0,-0.1459204835588534,-0.2166595270325901,-0.521368041277995,39.0,0.0,0.0,4,1,0
0.9837341481789812,4.0,1.0,2.0,6.0,0.0,-0.1459204835588534,-0.2166595270325901,-0.521368041277995,39.0,0.0,0.0,2,1,1
-0.7757678656510302,4.0,9.0,2.0,10.0,5.0,-0.1459204835588534,-0.2166595270325901,-0.521368041277995,5.0,0.0,0.0,2,0,0
-0.6291426978318626,3.0,12.0,2.0,3.0,5.0,-0.1459204835588534,-0.2166595270325901,-0.0354294469727769,39.0,1.0,0.0,4,0,0
0.323920892992727,3.0,6.0,3.0,7.0,1.0,-0.1459204835588534,-0.2166595270325901,-1.979183824193649,23.0,1.0,0.0,2,0,1
0.9837341481789812,6.0,11.0,2.0,4.0,0.0,-0.1459204835588534,-0.2166595270325901,-0.1974089784078496,39.0,0.0,1.0,4,1,1
-1.1423307851989493,3.0,12.0,4.0,10.0,1.0,1.761142380602081,-0.2166595270325901,0.7744682102025865,39.0,1.0,1.0,4,0,0
0.2506083090831432,4.0,9.0,2.0,4.0,0.0,0.5221743880521982,-0.2166595270325901,-0.521368041277995,39.0,0.0,1.0,4,1,0
-0.1892671943743597,4.0,15.0,2.0,4.0,0.0,-0.1459204835588534,-0.2166595270325901,2.151294227400704,39.0,0.0,1.0,2,1,0
-0.6291426978318626,7.0,9.0,2.0,10.0,0.0,-0.1459204835588534,-0.2166595270325901,-0.521368041277995,19.0,0.0,1.0,1,1,0
-1.1423307851989493,4.0,9.0,4.0,1.0,3.0,-0.1459204835588534,-0.2166595270325901,-1.250275932735822,39.0,0.0,0.0,4,0,2
-0.482517530012695,4.0,7.0,4.0,12.0,1.0,-0.1459204835588534,-0.2166595270325901,0.1265500844622957,39.0,0.0,0.0,2,1,0
0.1039831412639755,4.0,8.0,2.0,3.0,0.0,-0.1459204835588534,-0.2166595270325901,-0.521368041277995,0.0,0.0,1.0,1,1,0
-0.3358923621935273,4.0,5.0,2.0,14.0,0.0,-0.1459204835588534,-0.2166595270325901,-0.1974089784078496,26.0,0.0,0.0,0,1,0
-0.9957056173797816,6.0,11.0,4.0,5.0,3.0,-0.1459204835588534,-0.2166595270325901,-0.9263168698656766,39.0,0.0,0.0,4,1,2
-0.482517530012695,4.0,11.0,4.0,7.0,4.0,-0.1459204835588534,-0.2166595270325901,-0.521368041277995,39.0,0.0,0.0,4,1,0
