Age,Workclass,Education,Marital Status,Occupation,Relationship,Race,Gender,Capital Gain,capital loss,Hours per Week,Native Country,age_cat
-0.40920494610311114,2,9,4,10,1,4,0,-0.14592048355885345,-0.21665952703259014,0.7744682102025865,39,0
-0.1892671943743597,4,8,2,4,0,4,1,-0.14592048355885345,4.4662567751693,0.7744682102025865,39,0
1.4236096516364842,6,6,5,3,1,4,1,-0.14592048355885345,-0.21665952703259014,-0.03542944697277691,39,1
-1.288955953018117,4,8,2,5,0,4,1,-0.14592048355885345,-0.21665952703259014,0.45050914733244113,39,2
-0.849080449560614,4,15,0,8,1,4,1,-0.14592048355885345,-0.21665952703259014,-0.03542944697277691,39,0
0.3972334769023108,4,9,2,3,0,4,1,-0.14592048355885345,-0.21665952703259014,-2.303142887063794,39,0
-0.40920494610311114,4,0,4,7,1,4,0,-0.14592048355885345,-0.21665952703259014,0.3695193816149048,39,0
1.7168599872748196,6,9,2,4,0,4,1,-0.14592048355885345,-0.21665952703259014,-0.03542944697277691,39,1
-1.3622685369277008,4,11,4,10,2,4,0,-0.14592048355885345,-0.21665952703259014,-0.03542944697277691,39,2
-0.40920494610311114,4,11,0,8,4,4,0,-0.14592048355885345,-0.21665952703259014,-0.8453271041481403,39,0
-1.0690182012893654,4,9,4,12,3,4,0,-0.14592048355885345,-0.21665952703259014,-2.0601735899111855,39,2
-0.1892671943743597,4,14,2,10,0,4,1,0.5552135345201951,-0.21665952703259014,1.58436586737795,0,0
0.323920892992727,4,15,2,10,5,4,0,-0.14592048355885345,4.4662567751693,0.7744682102025865,39,0
0.17729572517355938,4,11,0,12,4,2,0,-0.14592048355885345,-0.21665952703259014,-0.1974089784078496,39,0
0.10398314126397556,4,7,0,4,1,4,0,-0.14592048355885345,-0.21665952703259014,-0.03542944697277691,39,0
-0.849080449560614,4,11,2,6,0,4,1,-0.14592048355885345,-0.21665952703259014,-0.03542944697277691,26,0
-0.6291426978318626,4,0,4,3,1,4,1,-0.14592048355885345,-0.21665952703259014,0.7744682102025865,39,0
-0.042642026555192065,4,9,5,4,1,4,1,3.6221670898485936,-0.21665952703259014,0.3695193816149048,39,0
-0.9957056173797817,4,11,4,6,1,4,1,-0.14592048355885345,-0.21665952703259014,1.9893146959656316,39,2
-1.3622685369277008,4,11,4,8,1,4,1,-0.14592048355885345,-0.21665952703259014,-2.6271019499339396,39,2
-0.9223930334701979,4,8,4,12,3,4,0,-0.14592048355885345,-0.21665952703259014,-0.4403782755604586,39,0
